trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
174,False,"{'a': 0.3, 'e': 0.1722499301915014}",30,18,-17.99413655777039,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 1}",1
175,False,"{'a': 0.3, 'e': 0.17052743088958636}",20,2,17.805370266496144,"{0: 17, 1: 0, 2: 1, 3: 0, 4: 0}",1
176,False,"{'a': 0.3, 'e': 0.1688221565806905}",35,2,-54.30073143448737,"{0: 28, 1: 2, 2: 1, 3: 0, 4: 2}",1
177,False,"{'a': 0.3, 'e': 0.1671339350148836}",20,3,27.48867702735379,"{0: 17, 1: 0, 2: 0, 3: 0, 4: 0}",1
178,False,"{'a': 0.3, 'e': 0.16546259566473476}",20,5,4.717309653878958,"{0: 14, 1: 0, 2: 0, 3: 1, 4: 0}",1
179,False,"{'a': 0.3, 'e': 0.16380796970808742}",20,6,20.948114656325355,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
180,False,"{'a': 0.3, 'e': 0.16216989001100654}",20,11,-37.619119375436384,"{0: 7, 1: 0, 2: 1, 3: 0, 4: 1}",1
181,False,"{'a': 0.3, 'e': 0.16054819111089647}",20,6,6.0905878450987,"{0: 12, 1: 1, 2: 1, 3: 0, 4: 0}",1
182,False,"{'a': 0.3, 'e': 0.1589427091997875}",25,13,17.13074363746061,"{0: 11, 1: 1, 2: 0, 3: 0, 4: 0}",1
183,False,"{'a': 0.3, 'e': 0.15735328210778962}",25,0,18.107988712760854,"{0: 23, 1: 0, 2: 2, 3: 0, 4: 0}",1
184,False,"{'a': 0.3, 'e': 0.15577974928671173}",30,10,-31.20863152945869,"{0: 16, 1: 0, 2: 2, 3: 2, 4: 0}",1
185,False,"{'a': 0.3, 'e': 0.15422195179384462}",25,3,24.71264371056503,"{0: 21, 1: 0, 2: 1, 3: 0, 4: 0}",1
186,False,"{'a': 0.3, 'e': 0.15267973227590617}",20,10,17.62080564083409,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
187,False,"{'a': 0.3, 'e': 0.1511529349531471}",25,13,10.713423318555009,"{0: 11, 1: 0, 2: 1, 3: 0, 4: 0}",1
188,False,"{'a': 0.3, 'e': 0.14964140560361563}",20,0,7.069878496418072,"{0: 18, 1: 0, 2: 2, 3: 0, 4: 0}",0
189,False,"{'a': 0.3, 'e': 0.14814499154757946}",25,14,22.9448907215473,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
190,False,"{'a': 0.3, 'e': 0.14666354163210368}",20,4,25.017923621006723,"{0: 16, 1: 0, 2: 0, 3: 0, 4: 0}",1
191,False,"{'a': 0.3, 'e': 0.14519690621578263}",25,13,-29.37746476056087,"{0: 10, 1: 0, 2: 1, 3: 0, 4: 1}",1
192,False,"{'a': 0.3, 'e': 0.1437449371536248}",25,2,-1.7877631090327835,"{0: 20, 1: 0, 2: 3, 3: 0, 4: 0}",1
193,False,"{'a': 0.3, 'e': 0.14230748778208857}",20,8,20.716787478864454,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
194,False,"{'a': 0.3, 'e': 0.14088441290426768}",20,5,-27.080860516785684,"{0: 13, 1: 0, 2: 1, 3: 0, 4: 1}",1
195,False,"{'a': 0.3, 'e': 0.139475568775225}",20,0,25.700092270853503,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
196,False,"{'a': 0.3, 'e': 0.13808081308747275}",25,7,-11.477251968692872,"{0: 17, 1: 0, 2: 0, 3: 0, 4: 1}",1
197,False,"{'a': 0.3, 'e': 0.136700004956598}",30,12,-30.52151492779513,"{0: 16, 1: 0, 2: 0, 3: 1, 4: 1}",1
198,False,"{'a': 0.3, 'e': 0.13533300490703204}",30,8,41.58692155613319,"{0: 22, 1: 0, 2: 0, 3: 0, 4: 0}",1
199,False,"{'a': 0.3, 'e': 0.13397967485796172}",20,14,10.678816748266645,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
200,False,"{'a': 0.3, 'e': 0.1326398781093821}",25,3,-17.03195080932737,"{0: 20, 1: 0, 2: 1, 3: 0, 4: 1}",1
